Number of nodes 296 
   250 :  5.0146459e-02  9.8636627e-01 
   251 :  9.7264541e-02 -1.2059460e+00 
   252 : -2.8718934e-01  1.2283759e+00 
   253 :  2.8666249e-01  1.2282320e+00 
   254 :  6.6326577e-01 -1.1942230e+00 
   255 : -5.0683222e-02 -7.7988951e-01 
   256 :  3.0989032e-01  1.4626754e+00 
   257 : -3.0989032e-01  1.4626754e+00 
   258 : -1.7445703e-01  1.6573122e+00 
   259 :  1.4035537e-01 -6.4911508e-01 
   260 : -4.7513350e-02  9.5546384e-01 
   261 :  5.1407238e-01 -1.2723852e+00 
   262 : -1.1362201e+00 -8.0080944e-01 
   263 :  1.1351197e+00 -8.0005419e-01 
   264 : -5.1422255e-01 -1.1239789e+00 
   265 : -5.5868479e-02  8.2674502e-01 
   266 :  1.3735522e+00 -2.3337591e-01 
   267 : -1.3735522e+00 -2.3337590e-01 
   268 :  4.1781854e-01  6.5828971e-01 
   269 : -4.1781854e-01  6.5828971e-01 
   270 :  4.6097160e-03  1.6070980e+00 
   271 :  9.6707129e-02  1.6692613e+00 
   272 :  1.7874272e-02 -1.0661581e+00 
   273 :  1.1038958e+00 -5.6071776e-01 
   274 : -1.1086564e+00 -5.5427688e-01 
   275 :  3.3898924e-03  1.1656184e+00 
   276 :  6.0990053e-02  1.1022063e+00 
   277 :  2.1134474e-01  6.1387827e-01 
   278 :  1.6848193e-01  1.5434819e+00 
   279 : -1.6455612e-01  1.5463654e+00 
   280 : -1.7025752e-01  1.2119514e+00 
   281 :  1.6980403e-01  1.2118789e+00 
   282 : -4.8550854e-02 -1.3827288e+00 
   283 :  2.3268908e-01  1.3875264e+00 
   284 : -2.3268908e-01  1.3875264e+00 
   285 :  1.3544508e-01  1.1348417e+00 
   286 :  4.6993487e-01 -8.9058303e-01 
   287 : -4.6996750e-01 -8.9078976e-01 
   288 : -2.7127119e-01 -1.3602355e+00 
   289 : -1.3103170e-01  1.1311529e+00 
   290 :  9.9410261e-01 -5.9340202e-01 
   291 :  8.3606409e-02 -9.4356912e-01 
   292 :  1.9962640e-01  1.6606073e+00 
   293 : -9.9340674e-01 -5.9284710e-01 
   294 :  4.2752348e-01  5.7224776e-01 
   295 : -4.2752348e-01  5.7224776e-01 
Number of edges 120 
     0 :      1     32 
     1 :     32     33 
     2 :     33     34 
     3 :     34     35 
     4 :     35     36 
     5 :     36     37 
     6 :     37      8 
     7 :      7     38 
     8 :     38     39 
     9 :     39     40 
    10 :     40     41 
    11 :     41     42 
    12 :     42     43 
    13 :     43      2 
    14 :      4     44 
    15 :     44     45 
    16 :     45     46 
    17 :     46     47 
    18 :     47     48 
    19 :     48     49 
    20 :     49     50 
    21 :     50     51 
    22 :     51     52 
    23 :     52     53 
    24 :     53     54 
    25 :     54     55 
    26 :     55     56 
    27 :     56     27 
    28 :      8     57 
    29 :     57     58 
    30 :     58     59 
    31 :     59     60 
    32 :     60     61 
    33 :     61     62 
    34 :     62     63 
    35 :     63      9 
    36 :     10     64 
    37 :     64     65 
    38 :     65     66 
    39 :     66     67 
    40 :     67     68 
    41 :     68     69 
    42 :     69     70 
    43 :     70      7 
    44 :      9     71 
    45 :     71     11 
    46 :     11     72 
    47 :     72     14 
    48 :     14     73 
    49 :     73     16 
    50 :     15     74 
    51 :     74     13 
    52 :     13     75 
    53 :     75     12 
    54 :     12     76 
    55 :     76     10 
    56 :     16     77 
    57 :     77     17 
    58 :     18     78 
    59 :     78     15 
    60 :     17     79 
    61 :     79     80 
    62 :     80     81 
    63 :     81     82 
    64 :     82     83 
    65 :     83     84 
    66 :     84     20 
    67 :     20     85 
    68 :     85     86 
    69 :     86     87 
    70 :     87     88 
    71 :     88     89 
    72 :     89     90 
    73 :     90     18 
    74 :      3     91 
    75 :     91     23 
    76 :     27     92 
    77 :     92     93 
    78 :     93     94 
    79 :     94     95 
    80 :     95     96 
    81 :     96     97 
    82 :     97     98 
    83 :     98     99 
    84 :     99    100 
    85 :    100    101 
    86 :    101    102 
    87 :    102    103 
    88 :    103    104 
    89 :    104      3 
    90 :     23    105 
    91 :    105    106 
    92 :    106    107 
    93 :    107     21 
    94 :     21    108 
    95 :    108    109 
    96 :    109    110 
    97 :    110     24 
    98 :     24    111 
    99 :    111      1 
   100 :      2    112 
   101 :    112     25 
   102 :     25    113 
   103 :    113    114 
   104 :    114    115 
   105 :    115     22 
   106 :     22    116 
   107 :    116    117 
   108 :    117    118 
   109 :    118     26 
   110 :     26    119 
   111 :    119      4 
   112 :     28    120 
   113 :    120     29 
   114 :     29    121 
   115 :    121     30 
   116 :     30    122 
   117 :    122     31 
   118 :     31    123 
   119 :    123     28 
Number of triangles 464 
     0 :    177    227     42
     1 :     33    228    178
     2 :     42    227    174
     3 :    175    228     33
     4 :    177    202    148
     5 :    147    201    178
     6 :      8    255    138
     7 :    189    248      9
     8 :    260    265    136
     9 :    156    248    190
    10 :    184    195    134
    11 :      9    248    196
    12 :    144    255      8
    13 :    211    265    260
    14 :     74    187     15
    15 :     16    188     73
    16 :    190    210    156
    17 :     16    189    188
    18 :    131    254    238
    19 :    176    255    245
    20 :     51    239     50
    21 :    190    248    189
    22 :     20    271    223
    23 :    148    227    177
    24 :    178    228    147
    25 :     97    236     96
    26 :    245    259    176
    27 :     16    190    189
    28 :    131    238    197
    29 :     18    181    180
    30 :    153    280    252
    31 :    253    281    154
    32 :      1    198    109
    33 :    238    254    232
    34 :    172    184    140
    35 :     79    179     17
    36 :     18    180     90
    37 :    223    271    270
    38 :    109    198    108
    39 :     74    268    187
    40 :    188    269     73
    41 :    172    195    184
    42 :    234    251    191
    43 :    187    277     15
    44 :     85    271     20
    45 :    218    239    197
    46 :     44    133      4
    47 :      3    132    104
    48 :    124    282    193
    49 :     39    182     38
    50 :     37    183     36
    51 :    203    284    153
    52 :    154    283    204
    53 :      2    215    167
    54 :     35    172    140
    55 :     40    173    152
    56 :     50    239    139
    57 :    131    239     51
    58 :    220    224    185
    59 :    166    198      1
    60 :    153    252    203
    61 :    204    253    154
    62 :    245    255    144
    63 :    152    218    197
    64 :     32    166      1
    65 :      2    167     43
    66 :    160    258    223
    67 :    169    234    191
    68 :    124    251    234
    69 :    136    265    249
    70 :    193    251    124
    71 :    202    266    148
    72 :    147    267    201
    73 :    173    218    152
    74 :    217    256    159
    75 :    158    257    216
    76 :     96    236    129
    77 :    256    283    159
    78 :    158    284    257
    79 :    134    236     97
    80 :    160    279    258
    81 :    134    226    184
    82 :     33    178     32
    83 :     43    177     42
    84 :    157    196    155
    85 :     64    130     10
    86 :    133    224    220
    87 :    192    288    125
    88 :    125    233    192
    89 :     64    222    130
    90 :    108    198    186
    91 :    191    231    169
    92 :      9    196     63
    93 :    156    209    149
    94 :    156    210    209
    95 :    218    219    139
    96 :    130    222    157
    97 :    190    265    210
    98 :     61    200    162
    99 :    179    229     17
   100 :     18    213    181
   101 :    184    226    212
   102 :    138    255    194
   103 :    201    225    166
   104 :    182    286     38
   105 :    114    215      2
   106 :    157    199    196
   107 :     41    290    173
   108 :    174    290     41
   109 :    130    149     10
   110 :     37    287    183
   111 :    183    287    237
   112 :    115    215    114
   113 :    140    293     34
   114 :     34    293    175
   115 :    116    220    185
   116 :    176    291    194
   117 :    108    186     21
   118 :    116    185     22
   119 :    202    224    133
   120 :    194    255    176
   121 :    183    237    195
   122 :    133    220      4
   123 :      3    221    132
   124 :    132    225    201
   125 :    155    156    149
   126 :    196    248    155
   127 :    219    273    146
   128 :     62    200     61
   129 :    252    280    179
   130 :    219    290    273
   131 :     38    126      7
   132 :    230    289    145
   133 :    180    281    253
   134 :      4    220    117
   135 :    106    221      3
   136 :      8    137     37
   137 :    165    274    212
   138 :    126    127      7
   139 :    195    236    134
   140 :    117    220    116
   141 :    107    221    106
   142 :    166    225    198
   143 :    199    200     62
   144 :    237    287    170
   145 :    274    293    212
   146 :    127    176      7
   147 :    216    279    158
   148 :    159    278    217
   149 :    184    212    140
   150 :    210    211    128
   151 :    226    262    212
   152 :      8    138    137
   153 :    139    239    218
   154 :    219    263    139
   155 :    197    239    131
   156 :    138    194    171
   157 :     94    125     93
   158 :     27    124     56
   159 :     55    169     54
   160 :    186    225    221
   161 :    152    182     39
   162 :    130    155    149
   163 :     36    183    172
   164 :    211    213    128
   165 :    183    195    172
   166 :     96    129     95
   167 :    152    197    182
   168 :     46    148     45
   169 :    103    147    102
   170 :     48    146     47
   171 :    101    165    100
   172 :     50    139     49
   173 :     98    134     97
   174 :     52    131     51
   175 :     60    206     59
   176 :     59    206    142
   177 :    163    205     69
   178 :     61    162     60
   179 :    162    206     60
   180 :     70    163     69
   181 :     57    144      8
   182 :     67    207     66
   183 :     68    164     67
   184 :     68    205    164
   185 :     57    208    144
   186 :     69    205     68
   187 :    164    207     67
   188 :     66    207    143
   189 :     71    188      9
   190 :     15    128     78
   191 :     17    136     77
   192 :     10    187     76
   193 :     58    208     57
   194 :     66    143     65
   195 :     59    142     58
   196 :    142    208     58
   197 :    167    224    202
   198 :     36    172     35
   199 :     35    140     34
   200 :     40    152     39
   201 :     41    173     40
   202 :     42    174     41
   203 :     34    175     33
   204 :    125    235    233
   205 :     63    199     62
   206 :    232    261    231
   207 :    230    276    250
   208 :    138    171    168
   209 :     78    213     18
   210 :    135    151    127
   211 :    171    193    192
   212 :    188    189      9
   213 :     21    186    107
   214 :     22    185    115
   215 :    171    192    168
   216 :    143    243    242
   217 :    126    135    127
   218 :     65    222     64
   219 :    178    201    166
   220 :    167    202    177
   221 :    168    170    137
   222 :    221    225    132
   223 :    215    224    167
   224 :    209    210    128
   225 :    135    191    151
   226 :    138    168    137
   227 :    271    278    161
   228 :    214    288    192
   229 :     53    261    254
   230 :    193    282    214
   231 :    126    150    135
   232 :     75    268     13
   233 :     73    269     14
